,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,labels
130,Jagjit Singh - Pyaar Ka Pehla Khat.mp3,1.3664833,0.39479846,0.36595246,0.2191788706,13.727589,2.116007,2403.798178,2855.886737,20.38785464,5381.887123,-0.0163627235,0.04803682791,1
131,Jagjit Singh - Sacchi Baat.mp3,1.2686546,0.359452,0.32682878,0.2033299306,9.086331,0.0022403288,1591.69032,2261.040088,21.21900726,3075.402363,0.07394737506,0.02899963571,1
132,Jagjit Singh - Sajaye Payi Hain.mp3,1.257147,0.3775345,0.38515827,0.2153171223,2.7389643,0.0020362083,1605.397844,1929.890485,21.32209794,3233.891035,0.03066974945,0.03612819181,1
133,Jagjit Singh - Samne Hai Jo Use.mp3,1.2024566,0.35533234,0.30184636,0.1950700197,1.3745861,-3.9703925,2083.253741,2853.569127,21.70004404,4828.703543,-0.06276591995,0.0367641605,1
134,Jagjit Singh - Shaam Se Aankh Mein Nami Si Hai.mp3,1.4034774,0.3765061,0.37733263,0.2198972927,5.434587,0.8536811,2574.844057,3077.350375,21.62746751,5703.742027,0.005798119644,0.05227362988,1
135,Jagjit Singh - Shayad Aa Jayega Saqi Ko.mp3,1.2094853,0.36796713,0.3151018,0.2044946817,1.3992884,-3.6859965,1720.615226,2369.011136,20.87549019,3620.833757,-0.02685977775,0.03136297658,1
136,Jagjit Singh - Shayad Main Zindagi Ki Sahar.mp3,1.4750621,0.31612432,0.41913533,0.2286031242,1.7393525,-5.005675,1614.476161,2223.822989,22.46371831,3217.432253,0.01711279372,0.03207599892,1
137,Jagjit Singh - Tera Chehra Kitna Suhana Lagta Hai (From Unique).mp3,1.3198301,0.41926432,0.4965401,0.2496567586,6.9057026,0.34600386,2431.986164,2842.284302,20.61028255,5340.970812,-0.001666334907,0.05482435915,1
138,Jagjit Singh - Tera Chehra Kitna.mp3,1.5370523,0.43158215,0.48394653,0.2499583816,2.376305,-2.5997036,2452.177117,2824.135974,19.9316513,5360.402735,0.01681920688,0.05361864505,1
139,Jagjit Singh - Tere Qadmon Pe Sar Hoga.mp3,1.3486644,0.402557,0.48569933,0.2509033093,0.8800482,-6.066545,1972.731112,2447.614459,20.15999621,4045.167654,0.008870860946,0.0391987916,1
140,Jagjit Singh - Tu Ambar Ki Aankh Ka Tara.mp3,1.3598268,0.39605978,0.47716832,0.2475834901,10.519708,-0.9748948,1631.216474,1941.606582,20.30812055,3063.428123,-0.007492517604,0.03787971511,1
141,Jagjit Singh - Tum Itna Jo Muskura Rahe Ho - From Arth.mp3,1.2160459,0.3927126,0.34229332,0.2091240681,0.71295613,-7.3792567,2515.178524,2442.331542,21.77655706,5272.582451,0.009541294444,0.06905621827,1
142,Jagjit Singh - Tum Ko Dekha To Yeh Khayal Aaya - From Saath Saath.mp3,1.1771226,0.32744065,0.32619438,0.2063376931,3.5768378,-4.0587826,1277.76116,1517.607194,21.66067262,2411.887486,-0.00491522308,0.02975592654,1
143,Jagjit Singh - Tumko Dekha To.mp3,1.2364452,0.30791914,0.32870045,0.2068396852,2.6547039,-5.252742,1502.821042,1970.474474,21.22714703,2886.420122,-0.005013386039,0.03092628317,1
144,Jagjit Singh - Us Mod Se Shuroo Karen.mp3,1.3117397,0.29003045,0.38130113,0.2246215093,4.400575,-2.9812677,1549.873438,2177.622827,21.2821855,2964.936197,0.02776502581,0.02974541385,1
145,Jagjit Singh - Woh Dil Hi Kya Tere Milne Ki Dua Na (From Immortal).mp3,1.3144064,0.34770876,0.39288533,0.2231145648,9.784861,-1.9173249,1419.419555,2092.793654,21.57737424,2703.619542,0.007869429805,0.02732233564,1
146,Jagjit Singh - Zindagi Kya Hai (From Koi Baat Chale).mp3,1.3480484,0.4253053,0.41738418,0.2313061338,11.08169,2.0091848,2158.040419,2997.958985,21.20883715,4890.032509,0.04146847023,0.03516023084,1
147,Jagjit Singh - Zindagi Kya Hai.mp3,1.063669,0.42603937,0.41813314,0.2317115852,12.152072,1.7504567,835.0186913,1010.11588,20.39230088,1730.464222,0.04032888089,0.01982394634,1
148,Javed Hussain - Dil Ki Chalegi.mp3,1.3168328,0.37523487,0.4082206,0.2306187122,2.5966294,-0.63113797,2336.598894,3155.001246,21.13025918,5439.286082,-0.0421132127,0.03907956083,1
149,Kavita Krishnamurthy - Koi Chaahat Koi Hasrat.mp3,1.4601556,0.31833997,0.4118487,0.2388826488,11.772669,-0.01986268,2522.17483,2869.396744,21.79363076,5096.458085,0.0002813447883,0.04847573275,1
150,Kavita Krishnamurthy - Woh Mere Aas Paas Tha.mp3,1.4062045,0.3237012,0.40081534,0.237178533,10.995203,1.1186476,2440.523768,2726.285096,22.02474993,5041.244124,0.002282754554,0.05270164315,1
151,Kirti Anuraag - Meri Ajab Hai Zindagi.mp3,1.3377995,0.35720056,0.37433666,0.2229707326,5.5186214,-0.22083977,2590.79887,3066.494374,22.14474152,5573.42144,0.0568996534,0.05312613315,1
152,Lalitya Munshaw - Baat Dil Ki Dil Se.mp3,1.3673279,0.35778698,0.35378575,0.2109107178,7.3689165,1.5626087,2468.179053,3252.382614,22.96624386,5635.63203,0.02719675096,0.04270545954,1
153,Lalitya Munshaw - Kuch Aise Meri.mp3,1.3284837,0.3641081,0.46790394,0.2365361055,0.7071318,-5.1933017,3180.866983,3528.217652,21.38839211,7279.057752,0.01460547969,0.05985421338,1
154,Mehdi Hassan - Main Khayal Hun.mp3,1.3592623,0.3851542,0.44866368,0.2429907083,8.706282,0.6377728,1553.289328,1957.378046,20.90585779,3013.715213,-0.02446254725,0.03330064458,1
155,Pankaj Udhas - Aap Jinke Kareeb Hote Hain.mp3,1.3989751,0.3451607,0.38793042,0.2294631246,2.814652,-2.7887287,2145.546977,2429.613019,21.69298312,4355.300954,0.03650194079,0.05231022524,1
156,Pankaj Udhas - Aap Ka Aitbaar.mp3,1.3801234,0.4190365,0.38098252,0.222577578,6.5615954,0.0301942,1418.047604,2021.284876,21.59549066,2757.845663,0.02560408435,0.02617011657,1
157,Pankaj Udhas - Ahista.mp3,1.2183115,0.36002353,0.3655034,0.2167933832,0.60820675,-6.467659,1183.284706,1583.497448,20.6992838,2324.222427,0.01895564252,0.0255279857,1
158,Pankaj Udhas - Chandi Jaisa Rang - Live In India-1984.mp3,1.4207939,0.368346,0.47862828,0.2530715493,2.9613523,-4.544847,2389.516228,2578.685248,21.33383737,4654.551558,-0.009477930829,0.05872396524,1
159,Pankaj Udhas - Chandi Jaisa Rang - Live.mp3,1.3377861,0.35562557,0.47489747,0.249128876,3.15174,-5.8040743,1399.935063,1574.823857,21.45382009,2404.922322,0.007878690126,0.03626451769,1
